,,,,,,,,,,,,
Please try to keep this in alphabetical order - (Filter Added to Columns),,,,,,,,,,,,
,,DON'T FORGET TO SHAKE YOUR RESIN!,,,,,,,,,,
Manufacturer,Resin type,Resin description,Links,Layer height,Bottom layer count,Bottom exposure time (s),Exposure time (s),Light off delay (s),Bottom light off delay (s),Slicer,Contributor,Comments
AmeraLabs,AMD-3,Coal Blk,Shop,0.05mm,4,45,5,0,0,ChiTuBox,GottLabs,
Anycubic,Basic,Black,Amazon.ca,0.02mm,10,60,7,0,0,ChiTuBox,Michael Anton,Surface is not always perfect.  Perhaps the exposure times still need tweaking.  
,Basic,Black,Amazon,0.05mm,8,70,11,0,0,ChiTuBox,Amanda,
,"All Natural, No Odor",Violet,Amazon,0.05mm,6,72,10,0,0,ChiTuBox,Jroze,Colors *really* pop on this one. Medium-high detail resolution. Gonna test more colors
,"All Natural, No Odor",Bright Green,Amazon,0.05mm,6,65,11,0,0,ChiTuBox,Jroze,Colors *really* pop on this one. Medium-high detail resolution. Gonna test more colors *On sale 
,"All Natural, No Odor",Baby Blue,Amazon,0.05mm,6,70,10,0,0,ChiTuBox,Jroze,Colors *really* pop on this one. Medium-high detail resolution. Gonna test more colors
,Basic,Skin Tone,Amazon,0.05mm,5,60,8,0,0,ChiTuBox,Sascha,Default settings work more or less perfectly
,Basic,Maroon,Amazon,0.05mm,10,80,8,0,0,Chitubox,Andrea Fontana,
,Basic,Aqua Blue,Amazon,0.05mm,6,60,12,0,0,Chitubox,Dan Williams,Came out perfect. 10 minutes in ultrasonic cleaning.
,Basic,Translucent Yellow,Amazon.de,0.05mm,6,65,12,0,0,Chitubox,Xardasteo,
,Basic,Orange,Amazon.de,0.05mm,8,75,8,0,0,Chitubox,Xardasteo,
,Basic,Clear,Amazon,0.05mm,5,60,7,0,0,Chitubox,WeberCreativeCustoms,Alcohol only rinse (water clouds it immediately) with air cure. 
,Basic,Grey,Amazon,0.04mm,6,60,12,0,0,Chitubox,Guillaume,
,,,,,,,,,,,,
BlueCast,Castable,Purple,stainless steel,0.05mm,5,65,11,0.2,1,Chitubox,Stefano,Castable Resin for pro users. Very easy to print n cast
Dragon Resin ,Basic,Clear Blue,Atome3D,0.05mm,5,60,8,0,0,ChituBox,Laurent Chevalier,Worked Great!
Elegoo,Basic,Clear,Amazon,0.05mm,8,65,7,0,0,ChituBox,3D Musketeers,"Default settings work just fine, strong prints"
,Basic (ABS-Like),Clear,Amazon,0.05mm,5,70,18,0,0,ChituBox,Ryan Close,"18 Seconds Exposure, 5 Bottom Layers, and 70 Seconds per bottom layer worked perfectly for 2 prints so far."
,Basic,Clear Red,Amazon,0.04mm,6,60,8,0,0,ChituBox,Fred Williams,
,Basic (ABS-Like),Clear Red,Amazon,0.05mm,8,80,10,0,0,ChituBox,Troy Lonie,Worked very well.  It was my first print with this resin so I was being very conservative; I also slowed the speeds way down
,Basic,Black 1,Amazon,0.05mm,5,60,8,0,0,ChituBox,Joshua Meehan,"Default Printer settings, custom supports zc yx. Rd/3 ist d. G*g xh6:"
